Transaction,Purchase Date,Customer ID,Gender,Marital Status,Homeowner,Children,Annual Income,City,State or Province,Country,Product Family,Product Department,Product Category,Units Sold,Revenue
84,01/10/12,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Dairy,Dairy,4,$36.50
85,01/10/12,76,F,S,N,1,$70K - $90K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,5,$17.70
86,01/10/12,3849,M,M,Y,4,$30K - $50K,Seattle,WA,USA,Food,Snacks,Candy,6,$24.90
87,01/11/12,7493,F,M,Y,3,$110K - $130K,San Diego,CA,USA,Food,Starchy Foods,Starchy Foods,4,$36.48
88,01/11/12,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,$6.53
89,01/11/12,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,6,$14.06
90,01/12/12,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Dairy,Dairy,5,$12.78
91,01/12/12,1275,M,S,N,4,$10K - $30K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$1.56
92,01/12/12,1681,F,M,Y,5,$70K - $90K,Salem,OR,USA,Food,Snack Foods,Snack Foods,5,$29.63
93,01/12/12,4315,M,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,4,$11.32
94,01/12/12,9175,F,S,Y,2,$90K - $110K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,$1.80
95,01/12/12,8054,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Food,Deli,Side Dishes,3,$5.04
96,01/12/12,7702,M,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,$3.61
97,01/12/12,769,F,S,N,4,$30K - $50K,Spokane,WA,USA,Food,Dairy,Dairy,4,$12.58
98,01/13/12,20,F,S,Y,2,$10K - $30K,San Diego,CA,USA,Non-Consumable,Household,Cleaning Supplies,3,$19.49
99,01/13/12,6348,M,M,Y,2,$10K - $30K,Spokane,WA,USA,Food,Frozen Foods,Pizza,6,$4.61
100,01/13/12,7622,F,S,N,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Checkout,Miscellaneous,6,$11.04
101,01/13/12,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,5,$4.68
102,01/13/12,2086,M,M,N,1,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Paper Products,3,$25.52
103,01/13/12,8862,M,S,N,1,$30K - $50K,Portland,OR,USA,Food,Snack Foods,Snack Foods,4,$6.80
104,01/13/12,1429,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,2,$12.70
105,01/13/12,8289,M,S,Y,4,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,3,$8.09
106,01/14/12,4544,F,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,$7.06
107,01/14/12,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$2.86
108,01/14/12,6713,M,M,N,2,$30K - $50K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$19.66
109,01/14/12,7569,F,M,Y,0,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$5.04
110,01/14/12,3593,F,M,Y,2,$150K +,Bremerton,WA,USA,Food,Deli,Meat,3,$9.94
111,01/14/12,1254,F,M,N,0,$90K - $110K,Seattle,WA,USA,Food,Breakfast Foods,Breakfast Foods,4,$24.11
112,01/14/12,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,$29.64
113,01/14/12,5499,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Baking Goods,Baking Goods,2,$14.76
114,01/14/12,5649,M,M,Y,3,$10K - $30K,Bellingham,WA,USA,Food,Baking Goods,Jams and Jellies,4,$9.68
115,01/15/12,2924,M,S,N,5,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Canned Tuna,5,$23.27
116,01/15/12,3861,F,M,Y,4,$30K - $50K,San Francisco,CA,USA,Food,Deli,Meat,2,$7.15
117,01/15/12,4396,F,M,Y,3,$130K - $150K,Salem,OR,USA,Food,Baking Goods,Baking Goods,3,$10.92
118,01/15/12,3313,M,M,Y,0,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,3,$10.96
119,01/15/12,10213,M,S,Y,2,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,4,$10.13
120,01/15/12,2331,F,S,Y,4,$90K - $110K,San Diego,CA,USA,Food,Frozen Foods,Vegetables,3,$11.99
121,01/15/12,9044,M,M,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Starchy Foods,Starchy Foods,5,$27.65
122,01/15/12,9459,F,S,Y,4,$50K - $70K,Portland,OR,USA,Food,Produce,Vegetables,3,$25.20
123,01/15/12,3938,M,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,5,$14.54
124,01/15/12,10240,F,S,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,$11.27
125,01/16/12,780,M,S,Y,5,$110K - $130K,Salem,OR,USA,Food,Frozen Foods,Pizza,3,$21.87
126,01/16/12,6760,F,M,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Dairy,Dairy,4,$14.26
127,01/16/12,28,F,S,Y,1,$10K - $30K,Seattle,WA,USA,Food,Frozen Foods,Breakfast Foods,4,$11.04
128,01/16/12,1147,F,S,Y,3,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$10.43
129,01/16/12,6021,F,S,Y,4,$50K - $70K,Salem,OR,USA,Food,Baking Goods,Baking Goods,5,$7.01
130,01/16/12,484,F,M,Y,3,$90K - $110K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,5,$9.59
131,01/16/12,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Dairy,Dairy,3,$21.53
132,01/16/12,5973,M,M,Y,2,$90K - $110K,Bremerton,WA,USA,Food,Snacks,Candy,5,$31.13
133,01/17/12,1900,F,S,Y,3,$130K - $150K,Beverly Hills,CA,USA,Food,Produce,Fruit,2,$6.32
134,01/17/12,8154,F,S,Y,5,$130K - $150K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,5,$20.40
135,01/17/12,7263,M,S,Y,3,$10K - $30K,Portland,OR,USA,Food,Baked Goods,Bread,4,$20.27
136,01/17/12,7694,F,S,Y,2,$130K - $150K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,$19.40
137,01/17/12,8091,F,S,Y,4,$90K - $110K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,$8.06
138,01/17/12,8259,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,2,$6.24
139,01/17/12,3334,F,M,Y,2,$70K - $90K,Tacoma,WA,USA,Food,Produce,Vegetables,5,$12.18
140,01/17/12,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Starchy Foods,Starchy Foods,5,$18.84
141,01/17/12,2019,M,S,N,4,$10K - $30K,Spokane,WA,USA,Non-Consumable,Household,Electrical,5,$30.19
142,01/17/12,2775,F,M,Y,4,$70K - $90K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,6,$4.31
143,01/18/12,7743,F,S,N,0,$30K - $50K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Desserts,5,$31.70
144,01/18/12,4021,M,M,N,3,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,$8.80
145,01/18/12,6518,M,M,Y,3,$30K - $50K,Beverly Hills,CA,USA,Food,Dairy,Dairy,5,$4.97
146,01/18/12,1748,F,S,N,1,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,$26.50
147,01/18/12,2673,M,M,Y,5,$50K - $70K,Portland,OR,USA,Food,Snack Foods,Snack Foods,3,$23.06
148,01/18/12,7359,F,M,N,4,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Pizza,5,$15.18
149,01/18/12,8452,M,M,N,4,$130K - $150K,Spokane,WA,USA,Food,Produce,Fruit,5,$21.22
150,01/18/12,6957,F,S,N,2,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,$11.34
151,01/18/12,7075,F,M,Y,3,$90K - $110K,Seattle,WA,USA,Food,Snack Foods,Snack Foods,4,$11.49
152,01/18/12,6647,M,S,Y,3,$30K - $50K,Tacoma,WA,USA,Food,Produce,Fruit,5,$19.12
153,01/18/12,4564,M,S,N,4,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Frozen Desserts,2,$16.62
154,01/18/12,5898,M,S,N,2,$10K - $30K,Bremerton,WA,USA,Food,Dairy,Dairy,3,$12.15
155,01/18/12,8269,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Frozen Desserts,5,$23.27
156,01/19/12,1906,M,M,Y,1,$50K - $70K,Beverly Hills,CA,USA,Food,Baked Goods,Bread,5,$11.50
157,01/19/12,6439,F,S,N,3,$30K - $50K,Los Angeles,CA,USA,Food,Dairy,Dairy,6,$29.30
158,01/19/12,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,6,$14.02
159,01/19/12,1249,F,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Starchy Foods,Starchy Foods,4,$28.37
160,01/19/12,4552,M,M,Y,2,$10K - $30K,Tacoma,WA,USA,Food,Frozen Foods,Pizza,4,$22.38
161,01/19/12,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,$25.65
162,01/19/12,7781,M,S,N,2,$50K - $70K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Decongestants,5,$18.69
163,01/19/12,3567,M,M,Y,1,$70K - $90K,Spokane,WA,USA,Food,Baking Goods,Jams and Jellies,4,$16.61
164,01/19/12,8818,M,S,N,2,$30K - $50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,$20.22
165,01/19/12,5238,M,S,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,2,$11.22
166,01/19/12,2035,F,M,N,5,$50K - $70K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,5,$29.00
167,01/19/12,3132,F,S,N,4,$70K - $90K,Seattle,WA,USA,Food,Produce,Vegetables,6,$15.73
168,01/19/12,8147,M,M,Y,3,$130K - $150K,Bellingham,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$2.92
169,01/19/12,5388,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Snacks,Candy,2,$15.33
170,01/20/12,8830,F,S,Y,0,$30K - $50K,San Francisco,CA,USA,Food,Produce,Specialty,1,$2.63
171,01/20/12,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$6.70
172,01/20/12,8220,F,S,N,2,$30K - $50K,San Diego,CA,USA,Food,Produce,Vegetables,3,$22.53
173,01/20/12,1193,F,S,Y,0,$90K - $110K,Salem,OR,USA,Food,Frozen Foods,Pizza,6,$7.64
174,01/20/12,9810,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Frozen Foods,Frozen Desserts,6,$6.46
175,01/20/12,5026,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Food,Baked Goods,Bread,3,$3.02
176,01/20/12,2398,F,S,N,4,$50K - $70K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,$4.05
177,01/20/12,7845,F,M,N,5,$70K - $90K,Salem,OR,USA,Food,Deli,Side Dishes,2,$6.62
178,01/20/12,4445,F,S,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,$23.32
179,01/20/12,2921,F,S,Y,4,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,3,$9.59
180,01/21/12,6079,F,M,Y,3,$70K - $90K,Salem,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,4,$4.99
181,01/21/12,3242,F,S,N,3,$10K - $30K,Bremerton,WA,USA,Drink,Beverages,Carbonated Beverages,5,$3.63
182,01/21/12,4066,F,M,Y,3,$130K - $150K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,3,$6.93
183,01/22/12,8291,F,M,Y,2,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$16.30
184,01/22/12,5991,M,M,Y,1,$50K - $70K,Bremerton,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,$17.46
185,01/22/12,7446,M,M,N,1,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Meat,3,$9.05
186,01/22/12,2251,M,M,N,0,$30K - $50K,Salem,OR,USA,Food,Meat,Meat,4,$2.68
187,01/22/12,3001,F,M,N,1,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,4,$44.78
188,01/22/12,7823,F,M,Y,5,$10K - $30K,Los Angeles,CA,USA,Food,Deli,Side Dishes,6,$8.06
189,01/22/12,9129,F,S,Y,0,$110K - $130K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,6,$2.95
190,01/22/12,8060,M,S,N,4,$50K - $70K,Walla Walla,WA,USA,Food,Produce,Vegetables,1,$1.65
191,01/22/12,2361,M,S,N,3,$10K - $30K,San Diego,CA,USA,Food,Deli,Meat,3,$4.43
192,01/23/12,4016,F,M,N,5,$70K - $90K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,$5.24
193,01/23/12,1313,F,M,Y,1,$30K - $50K,Seattle,WA,USA,Food,Frozen Foods,Frozen Desserts,4,$8.30
194,01/23/12,304,M,M,Y,1,$90K - $110K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,4,$19.05
195,01/23/12,2143,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,2,$7.45
196,01/23/12,878,F,S,N,0,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,$15.22
197,01/23/12,2313,F,M,Y,3,$10K - $30K,San Diego,CA,USA,Food,Canned Foods,Canned Sardines,4,$10.80
198,01/23/12,363,F,M,Y,4,$130K - $150K,Los Angeles,CA,USA,Food,Deli,Meat,6,$30.91
199,01/23/12,3412,M,S,N,5,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Decongestants,3,$16.79
200,01/23/12,5016,M,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,3,$13.86
201,01/23/12,4727,F,M,Y,4,$150K +,Spokane,WA,USA,Food,Snack Foods,Snack Foods,5,$6.60
202,01/23/12,3776,F,S,N,4,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,$7.49
203,01/23/12,9826,M,S,Y,4,$70K - $90K,Salem,OR,USA,Food,Produce,Vegetables,4,$10.88
204,01/23/12,3773,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Produce,Vegetables,5,$9.01
205,01/23/12,9263,F,M,Y,2,$30K - $50K,Spokane,WA,USA,Food,Canned Foods,Canned Tuna,3,$8.63
206,01/23/12,9306,M,M,Y,4,$50K - $70K,San Diego,CA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,$7.81
207,01/23/12,7149,F,S,Y,4,$10K - $30K,Salem,OR,USA,Food,Produce,Fruit,4,$2.63
208,01/24/12,2158,M,M,Y,3,$10K - $30K,Portland,OR,USA,Food,Produce,Vegetables,4,$13.68
209,01/24/12,213,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,$25.29
210,01/24/12,3446,F,S,Y,4,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,3,$13.06
211,01/24/12,8606,F,M,N,2,$110K - $130K,Seattle,WA,USA,Food,Canned Foods,Canned Sardines,4,$15.12
212,01/24/12,976,F,M,Y,5,$70K - $90K,Spokane,WA,USA,Non-Consumable,Household,Paper Products,3,$10.71
213,01/24/12,5734,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Vegetables,3,$6.40
214,01/24/12,9264,F,M,N,4,$90K - $110K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,4,$26.68
215,01/24/12,4670,M,S,Y,1,$30K - $50K,Tacoma,WA,USA,Food,Baking Goods,Baking Goods,3,$11.47
216,01/25/12,8342,F,M,Y,2,$70K - $90K,San Diego,CA,USA,Food,Baking Goods,Baking Goods,4,$8.12
217,01/25/12,4457,M,S,N,2,$30K - $50K,Walla Walla,WA,USA,Food,Snack Foods,Snack Foods,2,$5.34
218,01/25/12,1741,M,M,Y,4,$70K - $90K,Portland,OR,USA,Food,Dairy,Dairy,3,$4.75
219,01/25/12,9014,F,S,N,1,$50K - $70K,Salem,OR,USA,Food,Canned Foods,Canned Soup,4,$4.22
220,01/25/12,6866,F,M,N,5,$10K - $30K,Tacoma,WA,USA,Food,Canned Products,Fruit,5,$9.13
221,01/26/12,2878,F,M,Y,4,$30K - $50K,Bremerton,WA,USA,Food,Deli,Meat,3,$17.22
222,01/26/12,9551,M,M,N,2,$10K - $30K,San Diego,CA,USA,Drink,Beverages,Carbonated Beverages,5,$2.31
